ms,ax,ay,az,gx,gy,gz,roll_x100,pitch_x100
2737, 475, -1362, 2932, -196, 103, -95, -1812, -204
2747, 514, -1333, 2967, -248, 63, -70, -1826, -199
2757, 502, -1275, 3010, -320, -15, -79, -1843, -199
2767, 576, -1376, 3196, -471, -36, -66, -1869, -203
2777, 592, -1417, 3209, -347, -16, -33, -1888, -205
2787, 569, -1433, 3189, -354, 19, -10, -1908, -204
2797, 582, -1467, 3240, -265, 55, 21, -1923, -202
2807, 557, -1470, 3108, -236, 76, 21, -1936, -198
2817, 507, -1406, 3065, -295, 44, 38, -1952, -194
2827, 527, -1439, 2993, -305, -23, 42, -1969, -196
2837, 496, -1485, 3026, -386, -41, 12, -1992, -197
2847, 547, -1411, 3081, -435, -55, 25, -2015, -201
2857, 586, -1483, 3162, -396, -61, 1, -2037, -206
2867, 585, -1577, 3036, -437, -83, -5, -2064, -212
2877, 631, -1568, 3146, -562, -78, 34, -2097, -219
2887, 599, -1597, 3190, -505, -40, 34, -2126, -223
2897, 492, -1570, 2796, -733, -108, 56, -2171, -228
2907, 573, -1654, 3127, -796, -121, 106, -2218, -235
2917, 601, -1568, 3113, -591, -105, 104, -2250, -243
2927, 604, -1548, 3194, -501, -90, 100, -2274, -249
2937, 618, -1647, 3174, -283, -57, 81, -2288, -254
2947, 688, -1628, 3096, -194, -20, 87, -2296, -258
2957, 668, -1847, 3100, -288, -2, 123, -2314, -260
2967, 691, -1799, 3025, -276, 10, 55, -2332, -262
2977, 650, -1703, 3140, -285, 40, 23, -2346, -261
2987, 562, -1730, 3037, -265, 54, -8, -2360, -258
2997, 494, -1735, 2851, -356, 49, -28, -2381, -252
3007, 528, -1733, 2790, -486, 49, -12, -2411, -248
3017, 451, -1721, 2710, -505, -4, -43, -2442, -245
3027, 446, -1794, 2640, -571, -57, -29, -2479, -246
3037, 508, -1723, 2709, -426, -95, -30, -2504, -250
3047, 471, -1700, 2764, -552, -172, 2, -2534, -258
3057, 480, -1891, 2830, -650, -192, 43, -2574, -267
3067, 479, -1966, 2738, -599, -192, 44, -2614, -276
3077, 576, -2010, 2944, -375, -175, 42, -2637, -286
3087, 646, -2190, 2959, -308, -131, 32, -2660, -295
3097, 684, -1989, 3114, -322, -97, 7, -2677, -302
3107, 655, -1897, 3203, -304, -36, -22, -2689, -305
3117, 684, -1919, 3089, -431, -14, -55, -2710, -308
3127, 663, -1957, 2924, -465, -19, -60, -2736, -310
3137, 662, -1874, 3046, -467, 3, -13, -2758, -311
3147, 698, -1974, 3227, -100, 63, 7, -2758, -309
3157, 721, -2118, 3095, -85, 148, -1, -2761, -302
3167, 646, -2146, 3010, -115, 166, -20, -2768, -292
3177, 581, -2057, 2664, -32, 178, -51, -2772, -281
3187, 484, -1974, 2594, -115, 145, -74, -2780, -269
3197, 511, -2049, 2529, -111, 89, -67, -2791, -262
3207, 524, -2085, 2499, -116, 52, -67, -2802, -258
3217, 678, -1727, 2793, 13, 10, -56, -2793, -260
3227, 617, -1818, 2964, -173, 7, -73, -2796, -260
3237, 628, -1985, 2872, -433, 17, -72, -2819, -261
3247, 544, -1963, 2826, -470, -14, -72, -2844, -261
3257, 585, -2075, 2800, -419, -30, -72, -2869, -263
3267, 692, -2187, 2858, -332, -13, -61, -2890, -266
3277, 734, -2315, 2859, -331, -22, -47, -2913, -271
3287, 685, -2248, 2860, -249, -1, -88, -2930, -274
3297, 630, -2200, 2775, -421, -25, -33, -2956, -276
3307, 680, -2294, 2755, -355, -29, 6, -2981, -280
3318, 736, -2214, 2857, -269, -3, 50, -2996, -284
3327, 707, -2248, 2904, -186, 10, 66, -3006, -286
3337, 804, -2028, 2952, -226, 64, 21, -3013, -287
3347, 706, -2099, 3023, -278, 112, -30, -3024, -283
3357, 570, -2301, 2673, -470, 128, -35, -3055, -275
3367, 495, -2220, 2572, -535, 91, 1, -3089, -266
3377, 588, -2206, 2763, -229, 115, 40, -3101, -259
3387, 607, -2252, 2655, -177, 83, 83, -3112, -255
3397, 575, -2204, 2681, -112, 76, 57, -3118, -251
3407, 568, -2202, 2613, -206, 65, 39, -3129, -247
3417, 458, -2293, 2553, -254, 58, 7, -3147, -240
3427, 482, -2284, 2441, -208, 34, -1, -3163, -236
3437, 563, -2196, 2368, -216, -25, -21, -3178, -238
3447, 613, -2207, 2855, -162, -44, 5, -3183, -242
3457, 693, -2131, 3040, -223, 22, 34, -3188, -243
3467, 610, -2392, 2828, -504, 67, 24, -3218, -240
3477, 523, -2300, 2713, -971, 76, 45, -3275, -234
3487, 659, -2357, 2626, -1142, 77, 16, -3344, -232
3497, 1022, -2356, 2803, -1228, 123, -404, -3415, -237
3507, 516, -2389, 2776, -879, 52, 96, -3464, -232
3517, 729, -2552, 2833, -788, 117, 84, -3509, -229
3527, 571, -2568, 2596, -555, 125, 158, -3543, -222
3537, 726, -2242, 2609, -425, 146, 60, -3561, -218
3547, 451, -2249, 2553, -471, 124, -38, -3582, -208
3557, 228, -2461, 2540, -1048, -10, -10, -3643, -200
3567, 384, -2483, 2559, -857, 127, 92, -3692, -188
3577, 447, -2584, 2367, -530, -21, 110, -3725, -187
3587, 621, -2727, 2246, -283, 9, 51, -3747, -189
3597, 453, -2733, 2269, -417, -21, 45, -3777, -188
3607, 486, -2737, 2407, -1006, -100, 177, -3840, -193
3617, 509, -2735, 2245, -1609, -168, 227, -3941, -203
3627, 506, -2640, 2342, -1599, -165, 187, -4036, -212
3637, 474, -2769, 2474, -1123, -130, 106, -4100, -218
3647, 602, -2749, 2355, -856, -72, 19, -4148, -224
3657, 621, -2822, 2476, -767, -18, 53, -4190, -227
3667, 579, -2946, 2288, -733, -32, 130, -4234, -229
3677, 608, -3062, 2387, -324, 4, 197, -4253, -230
3687, 612, -3092, 2170, 147, 14, 252, -4248, -231
3697, 603, -3125, 2132, 279, 10, 260, -4236, -231
3707, 549, -2991, 2192, 474, 45, 210, -4208, -228
3717, 448, -2932, 2054, 527, 63, 135, -4179, -221
3727, 522, -2696, 1951, 310, 92, 31, -4161, -215
3737, 397, -2630, 2127, 203, 44, -14, -4145, -208
3747, 435, -2751, 2042, -59, -7, 19, -4150, -206
3757, 504, -2809, 2186, -161, 0, 12, -4159, -205
3767, 523, -2710, 2440, 183, 32, 14, -4141, -203
3777, 565, -2823, 2330, 401, 117, -15, -4114, -196
3787, 472, -2770, 2355, 540, 167, -29, -4077, -184
3797, 450, -2754, 2290, 727, 162, -81, -4031, -172
3807, 411, -2698, 2017, 590, 145, -82, -3998, -161
3817, 379, -2671, 2174, 206, 34, -48, -3985, -155
3827, 466, -2519, 2152, -161, -50, -83, -3992, -157
3837, 386, -2633, 2233, -665, -123, -135, -4030, -162
3847, 555, -2697, 2486, -1164, -160, -118, -4095, -173
3857, 527, -2803, 2803, -1219, -97, -51, -4160, -178
3867, 523, -3095, 2513, -1286, 14, 30, -4238, -177
3877, 543, -3108, 2333, -1027, 31, 2, -4301, -176
3887, 343, -3138, 2103, -563, 103, -193, -4340, -165
3897, 563, -2928, 2247, -330, 39, 48, -4357, -164
3907, 535, -2943, 2152, -173, 16, 67, -4367, -164
3917, 540, -2951, 2184, -81, 9, 82, -4370, -164
3927, 522, -2901, 2021, -157, -18, 51, -4379, -166
3937, 456, -2901, 2042, -327, -58, 48, -4399, -168
3947, 480, -2979, 1905, -401, -89, 47, -4427, -172
3957, 405, -2969, 1982, -275, -120, 53, -4445, -177
3967, 460, -2911, 2177, 56, -82, 31, -4437, -180
3977, 477, -2978, 2206, 349, -7, 3, -4413, -179
3987, 461, -3022, 2231, 634, 61, -15, -4372, -174
3997, 460, -2986, 2171, 970, 152, -42, -4311, -163
4007, 551, -2868, 2133, 1241, 211, -100, -4234, -151
4017, 447, -2838, 2039, 1078, 205, -160, -4170, -137
4027, 501, -2816, 2084, 1177, 172, -183, -4099, -127
